Time:               Pressure (psi):    Attitude (degrees):
2009:20:13:45:47    65.81324           12.69223
2009:20:13:45:47    65.81324           12.69223
2009:20:13:45:48    65.82139           12.74361
2009:20:13:45:48    65.82139           12.74361
2009:20:13:45:48    67.09262           13.27938
2009:20:13:45:48    67.09262           13.27938
2009:20:13:45:48    67.30402           13.38854
2009:20:13:45:48    67.30402           13.38854
2009:20:13:45:48    68.77500           13.78924
2009:20:13:45:48    68.77500           13.78924
2009:20:13:45:49    69.39847           14.16516
2009:20:13:45:49    69.39847           14.16516
2009:20:13:45:49    69.42186           14.51958
2009:20:13:45:49    69.42186           14.51958
2009:20:13:45:49    69.66570           15.07363
2009:20:13:45:49    69.66570           15.07363
2009:20:13:45:49    71.39101           16.14273
2009:20:13:45:49    71.39101           16.14273
2009:20:13:45:50    71.51887           16.48204
2009:20:13:45:50    71.51887           16.48204
2009:20:13:45:50    71.53278           16.61820
2009:20:13:45:50    71.53278           16.61820
2009:20:13:45:50    72.21323           16.96464
2009:20:13:45:50    72.21323           16.96464
2009:20:13:45:50    72.83606           17.19263
2009:20:13:45:50    72.83606           17.19263
2009:20:13:45:51    74.02411           17.36194
2009:20:13:45:51    74.02411           17.36194
2009:20:13:45:51    74.71673           17.49342
2009:20:13:45:51    74.71673           17.49342
2009:20:13:45:51    77.77517           17.53693
2009:20:13:45:51    77.77517           17.53693
2009:20:13:45:51    78.11574           18.69943
2009:20:13:45:51    78.11574           18.69943
2009:20:13:45:52    78.43849           18.89532
2009:20:13:45:52    78.43849           18.89532
2009:20:13:45:52    79.63122           19.57397
