Time:               Temperature (C):    Altitude (m):    Pressure (psi):
2009:16:15:36:42    -017.75074          000223.62879     54.42347*
2009:16:15:36:42    -017.73823          000373.54072     54.42347*
2009:16:15:36:42    -017.67177          000556.47121     54.42347*
2009:16:15:36:43    -017.65794          000920.28550     54.42347
2009:16:15:36:43    -017.56496          001306.68899     70.55841
2009:16:15:36:43    -017.50547          001413.87784     71.79073
2009:16:15:36:43    -017.45388          001779.17682     71.90734
2009:16:15:36:44    -017.43048          001919.52121     71.90734*
2009:16:15:36:44    -017.42905          002334.03353     71.90734*
2009:16:15:36:44    -017.32685          002925.76837     71.90734*
2009:16:15:36:44    -017.26963          003926.16632     71.90734*
2009:16:15:36:45    -017.25793          004255.23734     71.90734*
2009:16:15:36:45    -016.92694          004376.21971     71.90734*
2009:16:15:36:45    -016.91994          004423.53635     71.90734*
2009:16:15:36:45    -016.90613          004572.02271     71.90734*
2009:16:15:36:46    -016.85007          004652.07169     71.90734*
2009:16:15:36:46    -016.74306          004720.91609     71.90734*
2009:16:15:36:46    -016.72036          004803.84863     71.90734*
2009:16:15:36:46    -016.59831          004811.26246     71.90734*
2009:16:15:36:47    -016.29128          004949.56926     71.90734*
2009:16:15:36:47    -016.09345          005180.08215     71.90734*
2009:16:15:36:47    -015.83657          005284.61269     71.90734*
2009:16:15:36:48    -015.74205          005484.89560     71.90734*
2009:16:15:36:48    -015.72525          006327.71437     71.90734*
2009:16:15:36:48    -015.66602          006675.92243     71.90734*
2009:16:15:36:48    -015.57380          006825.31858     71.90734*
2009:16:15:36:49    -015.52822          007283.83831     71.90734*
2009:16:15:36:49    -015.22787          007337.71134     71.90734*
2009:16:15:36:49    -015.16743          007347.40123     71.90734*
2009:16:15:36:49    -014.98146          007358.90243     71.90734*
2009:16:15:36:50    -014.92179          007436.80078     71.90734*
2009:16:15:36:50    -014.87801          008101.89596     71.90734*
2009:16:15:36:50    -014.84435          008377.23983     71.90734*
2009:16:15:36:50    -014.73154          008631.16228     71.90734*
2009:16:15:36:51    -014.68522          008897.30153     71.90734*
2009:16:15:36:51    -014.34609          008921.57932     71.90734*
2009:16:15:36:51    -014.34052          009291.63813     71.90734*
2009:16:15:36:51    -014.23964          009883.76225     71.90734*
2009:16:15:36:52    -014.15618          010195.26377     71.90734*
2009:16:15:36:52    -014.10891          011137.26596     71.90734*
2009:16:15:36:52    -014.09622          011183.37051     71.90734*
2009:16:15:36:52    -013.92267          011995.54227     71.90734*
2009:16:15:36:53    -013.79190          012715.26287     71.90734*
2009:16:15:36:53    -013.78157          012898.09915     71.90734*
2009:16:15:36:53    -013.68213          013881.95733     71.90734*
2009:16:15:36:53    -013.58896          014316.46776     71.90734*
2009:16:15:36:54    -013.39645          014336.45427     71.90734*
2009:16:15:36:54    -013.27822          014398.36271     71.90734*
2009:16:15:36:54    -013.11471          014533.82802     71.90734*
2009:16:15:36:54    -012.75984          014693.47955     71.90734*
2009:16:15:36:55    -012.75632          014766.44344     71.90734*
2009:16:15:36:55    -012.69978          015308.06929     71.90734*
2009:16:15:36:55    -012.68362          015502.39722     71.90734*
2009:16:15:36:55    -012.62348          015737.67813     71.90734*
2009:16:15:36:56    -012.46087          015784.41408     71.90734*
2009:16:15:36:56    -012.37238          016063.17886     71.90734*
2009:16:15:36:56    -012.23227          016173.10004     71.90734*
2009:16:15:36:56    -012.13109          016382.71663     71.90734*
2009:16:15:36:57    -011.80854          016863.50365     71.90734*
2009:16:15:36:57    -011.65353          017267.97638     71.90734*
2009:16:15:36:57    -011.28879          018004.19857     71.90734*
2009:16:15:36:57    -011.17100          018059.97498     71.90734*
2009:16:15:36:58    -011.15670          018289.49945     71.90734*
2009:16:15:36:58    -011.12129          018958.83879     71.90734*
2009:16:15:36:58    -010.78904          019375.20234     71.90734*
2009:16:15:36:58    -010.78548          020925.07463     71.90734*
2009:16:15:36:59    -010.78433          021342.65877     71.90734*
2009:16:15:36:59    -010.74461          021547.63787     71.90734*
2009:16:15:36:59    -010.59299          022179.70656     71.90734*
2009:16:15:36:59    -010.47517          022307.66937     71.90734*
2009:16:15:37:00    -010.34068          022721.92496     71.90734*
2009:16:15:37:00    -010.27682          022855.37544     71.90734*
2009:16:15:37:00    -010.24821          023246.65676     71.90734*
2009:16:15:37:00    -010.24319          023281.60198     71.90734*
2009:16:15:37:01    -010.07468          023326.12951     71.90734*
2009:16:15:37:01    -010.07018          023466.62997     71.90734*
2009:16:15:37:01    -010.02429          023581.36324     71.90734*
2009:16:15:37:01    -009.99400          023681.34551     71.90734*
2009:16:15:37:02    -009.69587          023823.99979     71.90734*
2009:16:15:37:02    -009.69219          023975.38865     71.90734*
2009:16:15:37:02    -009.66179          024039.01552     71.90734*
2009:16:15:37:02    -009.63994          024244.85054     71.90734*
2009:16:15:37:03    -009.52843          024983.64225     71.90734*
2009:16:15:37:03    -009.51182          026682.62007     71.90734*
2009:16:15:37:03    -009.31632          027207.73607     71.90734*
2009:16:15:37:03    -009.18619          027248.09694     71.90734*
2009:16:15:37:04    -009.04650          027509.16912     71.90734*
2009:16:15:37:04    -009.03386          027792.72288     71.90734*
2009:16:15:37:04    -008.66834          028210.62906     71.90734*
2009:16:15:37:04    -008.58181          028247.04665     71.90734*
2009:16:15:37:05    -008.54611          028357.60471     71.90734*
2009:16:15:37:05    -008.38619          028498.46092     71.90734*
2009:16:15:37:05    -008.25398          028648.71381     71.90734*
2009:16:15:37:05    -008.19827          029101.13586     71.90734*
2009:16:15:37:06    -007.53788          029282.36088     71.90734*
2009:16:15:37:06    -007.51670          029367.35268     71.90734*
2009:16:15:37:06    -007.37105          029820.18016     71.90734*
2009:16:15:37:06    -007.27535          030010.93068     71.90734*
2009:16:15:37:07    -007.06115          030167.38039     71.90734*
2009:16:15:37:07    -006.82052          030307.47553     71.90734*
