Time:               Temperature (C):    Altitude (m):    Pressure (psi):    Velocity (kn):         Attitude (degrees):
2009:20:13:45:40    -107.01046          000016.62702     52.16713*          001.11901              00.97365
2009:20:13:45:40    -107.01046          000016.62702     52.16713*          001.11901              00.97365
2009:20:13:45:40    -105.77905          000039.15886     52.16713*          004.65220              01.24283
2009:20:13:45:40    -105.77905          000039.15886     52.16713*          004.65220              01.24283
2009:20:13:45:40    -100.60373          001142.91716     52.16713*          018.96082              01.57482
2009:20:13:45:40    -100.60373          001142.91716     52.16713*          018.96082              01.57482
2009:20:13:45:40    -098.69245          001233.36480     52.16713           045.77298              02.64944
2009:20:13:45:40    -098.69245          001233.36480     52.16713           045.77298              02.64944
2009:20:13:45:41    -091.54771          001484.39789     52.37941           100.66233              03.44188
2009:20:13:45:41    -091.54771          001484.39789     52.37941           100.66233              03.44188
2009:20:13:45:41    -090.23946          001562.11731     52.57851           124.00145              03.99891
2009:20:13:45:41    -090.23946          001562.11731     52.57851           124.00145              03.99891
2009:20:13:45:41    -086.53853          001603.82825     54.32916*          143.80227              04.03621
2009:20:13:45:41    -086.53853          001603.82825     54.32916*          143.80227              04.03621
2009:20:13:45:41    -085.92149          001664.14079     54.32916*          189.07175              04.23527
2009:20:13:45:41    -085.92149          001664.14079     54.32916*          189.07175              04.23527
2009:20:13:45:42    -076.86516          003040.12084     54.32916*          206.60633              05.43833
2009:20:13:45:42    -076.86516          003040.12084     54.32916*          206.60633              05.43833
2009:20:13:45:42    -074.42775          003091.74015     56.07981           215.42672              05.70597
2009:20:13:45:42    -074.42775          003091.74015     56.07981           215.42672              05.70597
2009:20:13:45:42    -071.89998          003094.06724     56.10541           221.04220              06.05868
2009:20:13:45:42    -071.89998          003094.06724     56.10541           221.04220              06.05868
2009:20:13:45:42    -070.92170          004653.10013     56.13946           224.18686              06.45745
2009:20:13:45:42    -070.92170          004653.10013     56.13946           224.18686              06.45745
2009:20:13:45:43    -062.08269          004731.06390     56.29856           242.49085              06.72843
2009:20:13:45:43    -062.08269          004731.06390     56.29856           242.49085              06.72843
2009:20:13:45:43    -056.75052          005634.08123     56.77677           304.44129              07.21851
2009:20:13:45:43    -056.75052          005634.08123     56.77677           304.44129              07.21851
2009:20:13:45:43    -052.30735          006900.29998     56.94927           311.26474              07.44704
2009:20:13:45:43    -052.30735          006900.29998     56.94927           311.26474              07.44704
2009:20:13:45:43    -048.17737          007828.50690     56.97244           311.72363              08.43851
2009:20:13:45:43    -048.17737          007828.50690     56.97244           311.72363              08.43851
2009:20:13:45:44    -047.54051          008182.77796     56.99460           361.79438              08.75577
2009:20:13:45:44    -047.54051          008182.77796     56.99460           361.79438              08.75577
2009:20:13:45:44    -046.90015          008220.32525     58.51654           364.48254              09.56255
2009:20:13:45:44    -046.90015          008220.32525     58.51654           364.48254              09.56255
2009:20:13:45:44    -042.99942          009017.63090     58.79048           411.11962              09.59910
2009:20:13:45:44    -042.99942          009017.63090     58.79048           411.11962              09.59910
2009:20:13:45:44    -038.55404          009055.62159     58.92965           440.54971              09.87173
2009:20:13:45:44    -038.55404          009055.62159     58.92965           440.54971              09.87173
2009:20:13:45:45    -036.60993          009352.11411     59.53525           448.48449              09.90657
2009:20:13:45:45    -036.60993          009352.11411     59.53525           448.48449              09.90657
2009:20:13:45:45    -035.73177          009463.53578     59.89045           473.85840              10.37623
2009:20:13:45:45    -035.73177          009463.53578     59.89045           473.85840              10.37623
2009:20:13:45:45    -031.53307          009768.12211     60.73088           481.59226              10.67149
2009:20:13:45:45    -031.53307          009768.12211     60.73088           481.59226              10.67149
2009:20:13:45:45    -027.95613          010002.30170     60.78193           484.32053              11.06845
2009:20:13:45:45    -027.95613          010002.30170     60.78193           484.32053              11.06845
2009:20:13:45:46    -025.59762          010740.90399     60.96974           487.71023              11.27448
2009:20:13:45:46    -025.59762          010740.90399     60.96974           487.71023              11.27448
2009:20:13:45:46    -024.49887          010982.03140     61.90040           487.79995              11.39723
2009:20:13:45:46    -024.49887          010982.03140     61.90040           487.79995              11.39723
2009:20:13:45:46    -021.13326          011499.62007     62.28943           489.54085              11.74633
2009:20:13:45:46    -021.13326          011499.62007     62.28943           489.54085              11.74633
2009:20:13:45:46    -020.06617          012284.60106     62.31625           506.76232              11.81875
2009:20:13:45:46    -020.06617          012284.60106     62.31625           506.76232              11.81875
2009:20:13:45:47    -018.67826          013206.03206     62.52982           507.82000              11.84756
2009:20:13:45:47    -018.67826          013206.03206     62.52982           507.82000              11.84756
2009:20:13:45:47    -018.17054          013398.74980     62.73661           521.20368              12.08791
2009:20:13:45:47    -018.17054          013398.74980     62.73661           521.20368              12.08791
2009:20:13:45:47    -016.81951          013825.39611     63.44534           588.65876              12.12891
2009:20:13:45:47    -016.81951          013825.39611     63.44534           588.65876              12.12891
2009:20:13:45:47    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:47    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:48    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:49    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:50    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:51    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:52    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:52    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
2009:20:13:45:52    -016.81951*         013825.39611*    63.44534*          588.65876*             12.12891*
