Time:               Pressure (psi):
1969:29:17:25:26    00.00000
1969:29:17:25:26    00.00000
1969:29:17:25:26    00.00000
1969:29:17:25:26    00.00000
1969:29:17:25:26    00.00000
1969:29:17:25:26    00.00000
1969:29:17:25:27    00.00000
1969:29:17:25:27    00.00000
1969:29:17:25:28    00.00000
1969:29:17:25:28    00.00000
1969:29:17:25:28    00.00000
1969:29:17:25:28    00.00000
1969:29:17:25:28    00.00000
1969:29:17:25:28    00.00000
1969:29:17:25:29    00.00000
1969:29:17:25:29    00.00000
1969:29:17:25:29    00.00000
1969:29:17:25:29    00.00000
1969:29:17:25:30    00.00000
1969:29:17:25:30    00.00000
1969:29:17:25:30    00.00000
1969:29:17:25:30    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:31    00.00000
1969:29:17:25:32    00.00000
1969:29:17:25:32    00.00000
1969:29:17:25:32    00.00000
1969:29:17:25:32    00.00000
1969:29:17:25:32    00.00000
1969:29:17:25:32    00.00000
1969:29:17:25:33    00.00000
1969:29:17:25:33    00.00000
1969:29:17:25:33    00.00000
1969:29:17:25:33    00.00000
1969:29:17:25:33    00.00000
1969:29:17:25:33    00.00000
1969:29:17:25:34    00.00000
1969:29:17:25:34    00.00000
1969:29:17:25:35    00.00000
1969:29:17:25:35    00.00000
1969:29:17:25:36    00.00000
1969:29:17:25:36    00.00000
1969:29:17:25:36    00.00000
1969:29:17:25:36    00.00000
1969:29:17:25:36    00.00000
1969:29:17:25:36    00.00000
1969:29:17:25:37    00.00000
1969:29:17:25:37    00.00000
1969:29:17:25:37    00.00000
1969:29:17:25:37    00.00000
1969:29:17:25:37    00.00000
1969:29:17:25:37    00.00000
1969:29:17:25:38    00.00000
1969:29:17:25:38    00.00000
